2019-01-06 16:09:48,651 [main] INFO  marytts.OpenNLPPosTagger Starting power-on self test.
2019-01-06 16:09:48,652 [main] INFO  marytts.OpenNLPPosTagger Power-on self test complete.
2019-01-06 16:09:48,652 [main] INFO  marytts.JPhonemiser_de Module started (PARTSOFSPEECH->PHONEMES, locale de).
2019-01-06 16:09:48,667 [main] INFO  marytts.JPhonemiser_de Starting power-on self test.
2019-01-06 16:09:48,668 [main] INFO  marytts.JPhonemiser_de Power-on self test complete.
2019-01-06 16:09:48,675 [main] INFO  marytts.Prosody Module started (PHONEMES->INTONATION, locale de).
2019-01-06 16:09:48,675 [main] INFO  marytts.Prosody Starting power-on self test.
2019-01-06 16:09:48,676 [main] INFO  marytts.Prosody Power-on self test complete.
2019-01-06 16:09:48,676 [main] INFO  marytts.PronunciationModel Module started (INTONATION->ALLOPHONES, locale de).
2019-01-06 16:09:48,676 [main] INFO  marytts.PronunciationModel Starting power-on self test.
2019-01-06 16:09:48,676 [main] INFO  marytts.PronunciationModel Power-on self test complete.
2019-01-06 16:09:48,677 [main] INFO  marytts.SimplePhoneme2AP Module started (SIMPLEPHONEMES->ACOUSTPARAMS, locale de).
2019-01-06 16:09:48,677 [main] INFO  marytts.SimplePhoneme2AP Starting power-on self test.
2019-01-06 16:09:48,679 [main] INFO  marytts.SimplePhoneme2AP Power-on self test complete.
2019-01-06 16:09:48,679 [main] INFO  marytts.JPhonemiser Module started (PARTSOFSPEECH->PHONEMES, locale fr).
2019-01-06 16:09:48,680 [main] INFO  marytts.JPhonemiser Starting power-on self test.
2019-01-06 16:09:48,680 [main] INFO  marytts.JPhonemiser Power-on self test complete.
2019-01-06 16:09:48,680 [main] INFO  marytts.Preprocess Module started (TOKENS->WORDS, locale fr).
2019-01-06 16:09:48,680 [main] INFO  marytts.Preprocess Starting power-on self test.
2019-01-06 16:09:48,682 [main] INFO  marytts.Preprocess Power-on self test complete.
2019-01-06 16:09:48,682 [main] INFO  marytts.OpenNLPPosTagger Module started (WORDS->PARTSOFSPEECH, locale fr).
2019-01-06 16:09:48,683 [main] INFO  marytts.OpenNLPPosTagger Starting power-on self test.
2019-01-06 16:09:48,683 [main] INFO  marytts.OpenNLPPosTagger Power-on self test complete.
2019-01-06 16:09:48,687 [main] INFO  marytts.UnitSelectionSynthesizer started.
2019-01-06 16:09:48,689 [main] INFO  marytts.TargetFeatureLister Module started (ACOUSTPARAMS->TARGETFEATURES, locale null).
2019-01-06 16:09:48,689 [main] INFO  marytts.HTSEngine Module started (TARGETFEATURES->AUDIO, locale null).
2019-01-06 16:09:48,716 [main] INFO  marytts.HMMData Loading Tree Set in CARTs:
2019-01-06 16:09:48,834 [main] INFO  marytts.HMMData Loading GV Model Set:
2019-01-06 16:09:48,981 [main] INFO  marytts.Voice Registering voice `cmu-slt-hsmm': female, locale en_US
2019-01-06 16:09:48,981 [main] INFO  marytts.Voice New default voice for locale en_US: cmu-slt-hsmm (desire 0)
2019-01-06 16:09:48,986 [main] INFO  marytts.HMMData Loading Tree Set in CARTs:
2019-01-06 16:09:49,044 [main] INFO  marytts.HMMData Loading GV Model Set:
2019-01-06 16:09:49,151 [main] INFO  marytts.Voice Registering voice `bits1-hsmm': female, locale de
2019-01-06 16:09:49,151 [main] INFO  marytts.Voice New default voice for locale de: bits1-hsmm (desire 0)
2019-01-06 16:09:49,154 [main] INFO  marytts.HMMData Loading Tree Set in CARTs:
2019-01-06 16:09:49,192 [main] INFO  marytts.HMMData Loading GV Model Set:
2019-01-06 16:09:49,349 [main] INFO  marytts.Voice Registering voice `bits3-hsmm': male, locale de
2019-01-06 16:09:49,372 [main] INFO  marytts.HMMData Loading Tree Set in CARTs:
2019-01-06 16:09:49,425 [main] INFO  marytts.HMMData Loading GV Model Set:
2019-01-06 16:09:49,599 [main] INFO  marytts.Voice Registering voice `upmc-pierre-hsmm': male, locale fr
2019-01-06 16:09:49,600 [main] INFO  marytts.Voice New default voice for locale fr: upmc-pierre-hsmm (desire 0)
2019-01-06 16:09:49,600 [main] INFO  marytts.HMMSynthesizer started.
2019-01-06 16:09:49,600 [main] INFO  marytts.Synthesis Module started (ACOUSTPARAMS->AUDIO, locale null).
2019-01-06 16:09:49,601 [main] INFO  marytts.HMMSynthesizer Starting power-on self test.
